metric_family,metric_name,sensitivity_type,specification,n_sad,n_hc,effect_size,ci_low,ci_high,p_value,q_value,direction,robustness_label
Geometry,Neural_Dist_Threat_Safety,Mask,MemoryFearNetwork,16,14,0.2195920571452295,-0.2648682044345059,0.704052318724965,0.3662298346916242,0.5378170680962964,SAD > HC,Direction only
Geometry,Neural_Dist_Threat_Safety,Mask,Schaefer,33,28,0.144146539201761,-0.24846694367543656,0.5367600220789586,0.6723872108022235,0.7541548154044522,SAD > HC,Direction only
Geometry,Neural_Dist_Threat_Safety,Mask,Tian,32,16,0.3053938438419068,-0.2506819358519614,0.861469623535775,0.7817414592832108,0.8689574604449388,SAD > HC,Direction only
Geometry,Neural_Dist_Threat_Safety,Mask,WholeBrain,21,14,0.1813151323892533,-0.3490793895450713,0.7117096543235779,0.6649965739235368,0.7905401931586153,SAD > HC,Direction only
Geometry,Neural_Dist_Threat_Safety,Subgroup,AllPlacebo,31,33,0.18955902921075052,-0.34792366201162683,0.7270417204331279,0.8861484225949436,0.9348588981085536,SAD > HC,Direction only
Geometry,Neural_Dist_Threat_Safety,Subgroup,SCR_Physiological_Responder,24,30,0.20672642657513893,-0.26471716454821514,0.678170017698493,0.2460893530111824,0.4175748694098407,SAD > HC,Direction only
Geometry,Neural_Dist_Threat_Safety,Subgroup,SCR_Simple_Acquisition_Differential_Learner,30,25,0.18292209121035738,-0.17231116631139634,0.5381553487321111,0.8721672142091577,0.9750567715111258,SAD > HC,Direction only
Geometry,Neural_Dist_Threat_Safety,Subgroup,SCR_Habituation_Adjusted_Learner,27,27,0.15911063702163614,-0.4551065059094362,0.7733277799527085,0.8932841878838869,1.0,SAD > HC,Direction only
Geometry,Neural_Dist_Threat_Safety,Subgroup,SCR_Late_Phase_Sensitivity_Learner,18,14,0.1992994702927079,-0.21995149821433896,0.6185504387997547,0.7678329536070512,0.9471488070136882,SAD > HC,Direction only
Certainty,Neural_SafetyEvidence,Mask,FearNetwork,19,23,-0.08238529308224886,-0.5945562817014987,0.42978569553700097,0.3905354304321821,0.5147485204196065,Near zero,Weak / inconsistent
Certainty,Neural_SafetyEvidence,Mask,MemoryFearNetwork,26,24,-0.15404239797226071,-0.5078797059145328,0.19979490997001131,0.42518334475555875,0.6184916514240373,SAD < HC,Direction only
Certainty,Neural_SafetyEvidence,Mask,Schaefer,31,22,-0.03694880050906976,-0.5486808296416038,0.4747832286234642,0.8805048615170226,0.9280506090036936,Near zero,Weak / inconsistent
Certainty,Neural_SafetyEvidence,Mask,Tian,15,14,-0.061076567600416874,-0.6254560246208922,0.5033028894200584,0.8317954186753718,0.9715028850311959,Near zero,Weak / inconsistent
Certainty,Neural_SafetyEvidence,Mask,WholeBrain,24,16,-0.030351464459939772,-0.4161013726245686,0.3553984437046891,0.7221776409272647,0.9164625106431468,Near zero,Weak / inconsistent
Certainty,Neural_SafetyEvidence,Subgroup,AllPlacebo,12,24,-0.05119807922740949,-0.4846868382813605,0.3822906798265415,0.19087792878040435,0.29229828656266066,Near zero,Weak / inconsistent
Certainty,Neural_SafetyEvidence,Subgroup,SCR_Physiological_Responder,14,20,-0.15898412050546912,-0.5698158177544379,0.2518475767434996,0.4927852887368776,0.6013834866494631,SAD < HC,Direction only
Certainty,Neural_SafetyEvidence,Subgroup,SCR_Simple_Acquisition_Differential_Learner,22,14,-0.020054359109791982,-0.5631008888096705,0.5229921705900864,0.7885584277515558,0.8388367258686547,Near zero,Weak / inconsistent
Certainty,Neural_SafetyEvidence,Subgroup,SCR_Habituation_Adjusted_Learner,26,30,-0.0578622196596126,-0.6732128790718601,0.557488439752635,0.3034300979888808,0.33154462652949684,Near zero,Weak / inconsistent
Certainty,Neural_SafetyEvidence,Subgroup,SCR_Late_Phase_Sensitivity_Learner,28,19,-0.09347525604911319,-0.7020607179635303,0.5151102058653039,0.6889491597548492,0.7143262237188868,Near zero,Weak / inconsistent
Certainty,Neural_ThreatEvidence,Mask,FearNetwork,27,28,0.14541771839389467,-0.42163545210055037,0.7124708888883398,0.38171112931831586,0.5575724404237222,SAD > HC,Direction only
Certainty,Neural_ThreatEvidence,Mask,MemoryFearNetwork,28,28,0.0637780738263431,-0.41060453476742986,0.538160682420116,0.6668594484628843,0.7952948075269008,Near zero,Weak / inconsistent
Certainty,Neural_ThreatEvidence,Mask,Schaefer,30,25,0.1407155315995727,-0.45429894519384806,0.7357300083929935,0.8110698766520907,0.9709274755383493,SAD > HC,Direction only
Certainty,Neural_ThreatEvidence,Mask,Tian,12,30,0.1281489561220534,-0.23114885551353587,0.4874467677576427,0.3337383665356284,0.3932125140295029,SAD > HC,Direction only
Certainty,Neural_ThreatEvidence,Mask,WholeBrain,18,33,0.033615555545943726,-0.5876442518286754,0.6548753629205629,0.4516822797682828,0.6101529156002231,Near zero,Weak / inconsistent
Certainty,Neural_ThreatEvidence,Subgroup,AllPlacebo,22,29,0.20120524668472212,-0.2913963264574444,0.6938068198268886,0.8475907569325298,0.9536413165888852,SAD > HC,Direction only
Certainty,Neural_ThreatEvidence,Subgroup,SCR_Physiological_Responder,24,29,0.1497018811717169,-0.43191235710208864,0.7313161194455224,0.5384199783675868,0.5804422770757861,SAD > HC,Direction only
Certainty,Neural_ThreatEvidence,Subgroup,SCR_Simple_Acquisition_Differential_Learner,31,26,0.13589246150475423,-0.3688502087811417,0.6406351317906501,0.8217512056694058,0.9097862294224361,SAD > HC,Direction only
Certainty,Neural_ThreatEvidence,Subgroup,SCR_Habituation_Adjusted_Learner,19,14,0.18144261846566545,-0.3204618795165184,0.6833471164478493,0.19353225350188133,0.37874483691004424,SAD > HC,Direction only
Certainty,Neural_ThreatEvidence,Subgroup,SCR_Late_Phase_Sensitivity_Learner,29,26,0.18766534540431024,-0.43515866957020066,0.8104893603788211,0.4622887689668546,0.6038715671889976,SAD > HC,Direction only
Trajectory,Neural_Safety_Trajectory_Slope,Mask,FearNetwork,12,22,-0.1707619199827901,-0.7043819318782704,0.36285809191269014,0.24794260094525264,0.2778755075384769,SAD < HC,Direction only
Trajectory,Neural_Safety_Trajectory_Slope,Mask,MemoryFearNetwork,16,12,-0.21544731231351133,-0.612060291706044,0.18116566707902138,0.7933466901152555,0.9927372777063418,SAD < HC,Direction only
Trajectory,Neural_Safety_Trajectory_Slope,Mask,Schaefer,24,13,-0.18842763463854503,-0.6952121718543525,0.31835690257726235,0.41419131166489104,0.5454803757277055,SAD < HC,Direction only
Trajectory,Neural_Safety_Trajectory_Slope,Mask,Tian,28,27,-0.09248188488086521,-0.6190600514092088,0.43409628164747843,0.5669141580236603,0.6897989140655845,Near zero,Weak / inconsistent
Trajectory,Neural_Safety_Trajectory_Slope,Mask,WholeBrain,17,18,-0.14061903333326062,-0.7672365490081586,0.48599848234163734,0.668550881609353,0.7028816675532953,SAD < HC,Direction only
Trajectory,Neural_Safety_Trajectory_Slope,Subgroup,AllPlacebo,25,33,-0.28597172971485907,-0.7059602574596866,0.13401679802996852,0.2960193003240064,0.4427762881098838,SAD < HC,Direction only
Trajectory,Neural_Safety_Trajectory_Slope,Subgroup,SCR_Physiological_Responder,28,33,-0.2174766412427272,-0.6606590243401456,0.22570574185469122,0.2873251402390662,0.4404553135170582,SAD < HC,Direction only
Trajectory,Neural_Safety_Trajectory_Slope,Subgroup,SCR_Simple_Acquisition_Differential_Learner,33,15,-0.09017247230863921,-0.5524853944620531,0.3721404498447747,0.29705116181275504,0.4258951093079254,Near zero,Weak / inconsistent
Trajectory,Neural_Safety_Trajectory_Slope,Subgroup,SCR_Habituation_Adjusted_Learner,16,28,-0.1221233218616866,-0.6505314007892095,0.4062847570658362,0.6292247051450646,0.8235712188757278,SAD < HC,Direction only
Trajectory,Neural_Safety_Trajectory_Slope,Subgroup,SCR_Late_Phase_Sensitivity_Learner,16,26,-0.17494734416196883,-0.5807567748359658,0.2308620865120281,0.9310005675172588,0.9635107584190387,SAD < HC,Direction only
Trajectory,Neural_Threat_Trajectory_Slope,Mask,FearNetwork,12,24,0.001599768451721148,-0.524319359475914,0.5275188963793563,0.3483705293825621,0.4616648405502147,Near zero,Weak / inconsistent
Trajectory,Neural_Threat_Trajectory_Slope,Mask,MemoryFearNetwork,28,20,0.007895347520441742,-0.4787722178735509,0.4945629129144344,0.6225760132139211,0.7704972005956778,Near zero,Weak / inconsistent
Trajectory,Neural_Threat_Trajectory_Slope,Mask,Schaefer,29,19,0.12514807365942107,-0.4926942344778634,0.7429903817967055,0.9254392593923013,0.9870910514204457,SAD > HC,Direction only
Trajectory,Neural_Threat_Trajectory_Slope,Mask,Tian,23,26,0.062186545366059685,-0.39996307021993815,0.5243361609520575,0.5732722184773448,0.6365251280776572,Near zero,Weak / inconsistent
Trajectory,Neural_Threat_Trajectory_Slope,Mask,WholeBrain,12,24,0.1659088980554926,-0.4133531632861467,0.7451709593971318,0.6530680549247927,0.7160466817868184,SAD > HC,Direction only
Trajectory,Neural_Threat_Trajectory_Slope,Subgroup,AllPlacebo,14,26,0.16911331080324354,-0.20636749366634122,0.5445941152728283,0.46188116115562383,0.5305409993991965,SAD > HC,Direction only
Trajectory,Neural_Threat_Trajectory_Slope,Subgroup,SCR_Physiological_Responder,25,16,0.000878954618339034,-0.6192939024463853,0.6210518116830634,0.745298502906603,0.8804746845172716,Near zero,Weak / inconsistent
Trajectory,Neural_Threat_Trajectory_Slope,Subgroup,SCR_Simple_Acquisition_Differential_Learner,19,33,0.1934974276504327,-0.31887948502597824,0.7058743403268437,0.3218459834197527,0.4070256154293246,SAD > HC,Direction only
Trajectory,Neural_Threat_Trajectory_Slope,Subgroup,SCR_Habituation_Adjusted_Learner,15,26,0.11284982578329184,-0.5143443178672471,0.7400439694338308,0.8773113617689334,0.913979029039297,SAD > HC,Direction only
Trajectory,Neural_Threat_Trajectory_Slope,Subgroup,SCR_Late_Phase_Sensitivity_Learner,16,12,0.02195874402577544,-0.5082747377980087,0.5521922258495596,0.6297492151919872,0.7049689557062864,Near zero,Weak / inconsistent
Secondary,Neural_Dist_Threat_Background,Mask,FearNetwork,20,24,0.005818800309617804,-0.46400659617757656,0.47564419679681214,0.3991827624652383,0.4749325853349646,Near zero,Weak / inconsistent
Secondary,Neural_Dist_Threat_Background,Mask,MemoryFearNetwork,19,16,0.040479469934992456,-0.4159877780945243,0.49694671796450923,0.8344835444113958,1.0,Near zero,Weak / inconsistent
Secondary,Neural_Dist_Threat_Background,Mask,Schaefer,25,12,0.017434314919658855,-0.4121070235129389,0.4469756533522566,0.8937162403636258,1.0,Near zero,Weak / inconsistent
Secondary,Neural_Dist_Threat_Background,Mask,Tian,14,32,0.07601575786047189,-0.5322339451691165,0.6842654608900602,0.6623822281985999,0.7149706826362362,Near zero,Weak / inconsistent
Secondary,Neural_Dist_Threat_Background,Mask,WholeBrain,17,22,0.06591828434035167,-0.41014565927101476,0.5419822279517181,0.8372695873376346,0.9609116058986731,Near zero,Weak / inconsistent
Secondary,Neural_Dist_Threat_Background,Subgroup,AllPlacebo,18,31,-0.03223387141149643,-0.4436664572754725,0.37919871445247966,0.44671435935851267,0.5228872291592471,Near zero,Weak / inconsistent
Secondary,Neural_Dist_Threat_Background,Subgroup,SCR_Physiological_Responder,29,24,0.011223424760989167,-0.5732136622101982,0.5956605117321765,0.24969055520426398,0.3297297175778919,Near zero,Weak / inconsistent
Secondary,Neural_Dist_Threat_Background,Subgroup,SCR_Simple_Acquisition_Differential_Learner,21,19,0.04877987059853566,-0.3396708680636443,0.43723060926071566,0.7798550351411098,0.8147648922864363,Near zero,Weak / inconsistent
Secondary,Neural_Dist_Threat_Background,Subgroup,SCR_Habituation_Adjusted_Learner,27,24,0.06466727193878889,-0.36238920089126153,0.49172374476883934,0.7406248059890397,0.7905167422048374,Near zero,Weak / inconsistent
Secondary,Neural_Dist_Threat_Background,Subgroup,SCR_Late_Phase_Sensitivity_Learner,26,16,0.06597568733058642,-0.45227148068249545,0.5842228553436684,0.3523502701176697,0.4253470746247689,Near zero,Weak / inconsistent
Secondary,Neural_Decoder_Entropy_CSS,Mask,FearNetwork,29,19,-0.01779566755827562,-0.632236871059621,0.5966455359430697,0.7534392907518017,0.8447165856990019,Near zero,Weak / inconsistent
Secondary,Neural_Decoder_Entropy_CSS,Mask,MemoryFearNetwork,31,14,0.024851576247540696,-0.5653166543058847,0.615019806800966,0.5794720216905171,0.6109022066024938,Near zero,Weak / inconsistent
Secondary,Neural_Decoder_Entropy_CSS,Mask,Schaefer,13,20,0.005072251929036573,-0.6197502499155585,0.6298947537736317,0.4078808229243147,0.4599704455711788,Near zero,Weak / inconsistent
Secondary,Neural_Decoder_Entropy_CSS,Mask,Tian,18,28,0.017842688389950373,-0.41704992598734003,0.4527353027672407,0.702088277601046,0.768813217207438,Near zero,Weak / inconsistent
Secondary,Neural_Decoder_Entropy_CSS,Mask,WholeBrain,31,27,0.041416085734104664,-0.48010783589842293,0.5629400073666323,0.9183219824628284,1.0,Near zero,Weak / inconsistent
Secondary,Neural_Decoder_Entropy_CSS,Subgroup,AllPlacebo,12,16,-0.035840754018328154,-0.5444009435755242,0.4727194355388678,0.744229272258927,0.8357569514988266,Near zero,Weak / inconsistent
Secondary,Neural_Decoder_Entropy_CSS,Subgroup,SCR_Physiological_Responder,13,23,0.01753710842281507,-0.6033958045831708,0.6384700214288009,0.4568024043351506,0.5289675737751568,Near zero,Weak / inconsistent
Secondary,Neural_Decoder_Entropy_CSS,Subgroup,SCR_Simple_Acquisition_Differential_Learner,14,18,0.04906737298491408,-0.4549498567313504,0.5530846027011785,0.19023841214257,0.25563743066653416,Near zero,Weak / inconsistent
Secondary,Neural_Decoder_Entropy_CSS,Subgroup,SCR_Habituation_Adjusted_Learner,28,24,0.03887535590938259,-0.450142001892921,0.5278927137116861,0.9234700808492089,0.9581221535547815,Near zero,Weak / inconsistent
Secondary,Neural_Decoder_Entropy_CSS,Subgroup,SCR_Late_Phase_Sensitivity_Learner,23,18,0.04451349574882007,-0.4412849714060323,0.5303119629036724,0.35724903301005434,0.5339317337488608,Near zero,Weak / inconsistent
Secondary,Neural_Decoder_Entropy_CSR,Mask,FearNetwork,14,16,-0.07684670042617199,-0.4961995787008011,0.34250617784845716,0.2060059889185742,0.3476321763766639,Near zero,Weak / inconsistent
Secondary,Neural_Decoder_Entropy_CSR,Mask,MemoryFearNetwork,28,29,-0.04277660638238393,-0.44927101433539796,0.36371780157063005,0.8891310132186383,1.0,Near zero,Weak / inconsistent
Secondary,Neural_Decoder_Entropy_CSR,Mask,Schaefer,14,13,-0.12454598643588033,-0.4858466656676006,0.23675469279583994,0.18381433143755754,0.32771259035501565,SAD < HC,Direction only
Secondary,Neural_Decoder_Entropy_CSR,Mask,Tian,21,15,-0.009899022075900644,-0.5137246761681439,0.49392663201634257,0.2187092866940917,0.2997254865755191,Near zero,Weak / inconsistent
Secondary,Neural_Decoder_Entropy_CSR,Mask,WholeBrain,21,23,-0.008935284091173347,-0.5029696721662195,0.4850991039838728,0.31625849109121235,0.5081020937877276,Near zero,Weak / inconsistent
Secondary,Neural_Decoder_Entropy_CSR,Subgroup,AllPlacebo,21,33,0.010743667739934279,-0.5530517614982656,0.5745390969781342,0.8948865504546746,1.0,Near zero,Weak / inconsistent
Secondary,Neural_Decoder_Entropy_CSR,Subgroup,SCR_Physiological_Responder,12,23,-0.07557567473566844,-0.5390603983145063,0.3879090488431694,0.798861754219119,0.9809058254578757,Near zero,Weak / inconsistent
Secondary,Neural_Decoder_Entropy_CSR,Subgroup,SCR_Simple_Acquisition_Differential_Learner,17,16,0.015530245091060407,-0.371785124255264,0.40284561443738487,0.5252238976298567,0.6429743771645922,Near zero,Weak / inconsistent
Secondary,Neural_Decoder_Entropy_CSR,Subgroup,SCR_Habituation_Adjusted_Learner,33,28,0.018108936102031972,-0.4412718249275042,0.47748969713156814,0.5181583001885522,0.6215435829208605,Near zero,Weak / inconsistent
Secondary,Neural_Decoder_Entropy_CSR,Subgroup,SCR_Late_Phase_Sensitivity_Learner,25,16,-0.05766514356042596,-0.528373909384551,0.41304362226369906,0.273512006384955,0.40001136969334533,Near zero,Weak / inconsistent
Secondary,Shock_Anchor_Trajectory_Slope,Mask,FearNetwork,22,25,0.02635915782740047,-0.4059423106126378,0.4586606262674387,0.8517409598468477,0.95207493329227,Near zero,Weak / inconsistent
Secondary,Shock_Anchor_Trajectory_Slope,Mask,MemoryFearNetwork,24,24,0.041989701962657285,-0.39357599106291064,0.4775553949882252,0.3687991523360263,0.46317317248258694,Near zero,Weak / inconsistent
Secondary,Shock_Anchor_Trajectory_Slope,Mask,Schaefer,25,21,0.07228603826862111,-0.3493656201320751,0.49393769666931736,0.2556603100146175,0.4380789685720152,Near zero,Weak / inconsistent
Secondary,Shock_Anchor_Trajectory_Slope,Mask,Tian,30,24,0.06198097475080157,-0.46977062864370234,0.5937325781453054,0.7887409621502439,0.9024189338362026,Near zero,Weak / inconsistent
Secondary,Shock_Anchor_Trajectory_Slope,Mask,WholeBrain,16,30,-0.03575887844576933,-0.48677983392638446,0.41526207703484586,0.33418536847268737,0.44867482267322056,Near zero,Weak / inconsistent
Secondary,Shock_Anchor_Trajectory_Slope,Subgroup,AllPlacebo,18,27,0.07466362088233479,-0.5116601424990622,0.6609873842637318,0.3232637929868001,0.3861170395657134,Near zero,Weak / inconsistent
Secondary,Shock_Anchor_Trajectory_Slope,Subgroup,SCR_Physiological_Responder,14,14,-0.03056558162980326,-0.44318217701564083,0.3820510137560343,0.6035301082261912,0.6813692687985983,Near zero,Weak / inconsistent
Secondary,Shock_Anchor_Trajectory_Slope,Subgroup,SCR_Simple_Acquisition_Differential_Learner,26,33,0.02994895328892417,-0.4224311531225656,0.4823290597004139,0.29901760138772443,0.4434796924407285,Near zero,Weak / inconsistent
Secondary,Shock_Anchor_Trajectory_Slope,Subgroup,SCR_Habituation_Adjusted_Learner,12,24,0.046197122847913524,-0.3067801378388969,0.3991743835347239,0.30870031806115056,0.39284003882109475,Near zero,Weak / inconsistent
Secondary,Shock_Anchor_Trajectory_Slope,Subgroup,SCR_Late_Phase_Sensitivity_Learner,26,14,0.08868101348159321,-0.47545757074527284,0.6528195977084592,0.747493407162392,0.9283993454559981,Near zero,Weak / inconsistent
Secondary,Residualized_Shock_Anchor_Trajectory_Slope,Mask,FearNetwork,18,26,-0.11785816473743296,-0.600160303295056,0.3644439738201901,0.8846623773642701,1.0,SAD < HC,Direction only
Secondary,Residualized_Shock_Anchor_Trajectory_Slope,Mask,MemoryFearNetwork,22,16,-0.07944733653808783,-0.6937908812459967,0.5348962081698212,0.6668662934130241,0.6991843949923905,Near zero,Weak / inconsistent
Secondary,Residualized_Shock_Anchor_Trajectory_Slope,Mask,Schaefer,20,20,-0.10514137510519629,-0.6102738152834164,0.39999106507302384,0.182022852662785,0.38051826379240095,SAD < HC,Direction only
Secondary,Residualized_Shock_Anchor_Trajectory_Slope,Mask,Tian,20,31,-0.021817824012306867,-0.6428084053126204,0.5991727572880066,0.782095218677473,0.9121622902388118,Near zero,Weak / inconsistent
Secondary,Residualized_Shock_Anchor_Trajectory_Slope,Mask,WholeBrain,24,13,-0.033641323389325996,-0.461863270096555,0.39458062331790295,0.8873799290865332,1.0,Near zero,Weak / inconsistent
Secondary,Residualized_Shock_Anchor_Trajectory_Slope,Subgroup,AllPlacebo,17,14,-0.16838680850442386,-0.6284531378793436,0.29167952087049587,0.33032350538917665,0.4860307236610367,SAD < HC,Direction only
Secondary,Residualized_Shock_Anchor_Trajectory_Slope,Subgroup,SCR_Physiological_Responder,20,33,-0.07834935574806244,-0.587753108780334,0.43105439728420913,0.686544625750279,0.7410506030375849,Near zero,Weak / inconsistent
Secondary,Residualized_Shock_Anchor_Trajectory_Slope,Subgroup,SCR_Simple_Acquisition_Differential_Learner,18,21,0.07057557746808144,-0.3154872232441388,0.4566383781803016,0.2665935703803749,0.39123310798501765,Near zero,Weak / inconsistent
Secondary,Residualized_Shock_Anchor_Trajectory_Slope,Subgroup,SCR_Habituation_Adjusted_Learner,21,28,-0.13074514543104382,-0.6535388807178026,0.39204858985571495,0.9436398455029742,1.0,SAD < HC,Direction only
Secondary,Residualized_Shock_Anchor_Trajectory_Slope,Subgroup,SCR_Late_Phase_Sensitivity_Learner,17,32,-0.040138090058480874,-0.6507071116851315,0.5704309315681697,0.426557989119961,0.4952066980236123,Near zero,Weak / inconsistent
